user_id,event_type,value
4463,signup,53.583693110692266
38698,signup,37.52270150388544
32728,signup,68.89840397745378
21944,signup,47.54593019089203
21651,purchase,46.55521994191379
42930,purchase,50.44601370655497
4298,view,78.63187555262672
34868,purchase,65.70227538623953
10074,purchase,49.89161869766427
4709,view,58.97251419865006
26324,purchase,45.157081391742395
48781,view,37.66152679877152
36787,signup,34.81452193279209
38057,click,56.182223338957186
35874,signup,70.27281962251578
39303,signup,21.863016669477098
25661,view,54.19872784427614
6406,click,18.126286623501336
41987,purchase,54.49336198826548
22519,signup,64.0811330948952
25018,view,31.889168542875932
18540,view,53.86105552501711
9128,signup,68.20386513844993
46338,purchase,20.853262469045745
39078,view,77.71739491383684
32193,view,35.885896670871375
20121,click,59.760512869050665
41138,signup,41.52094344776995
27271,view,52.66170808164344
22171,signup,43.10860291753498
22523,click,41.995581465846065
11362,click,59.95751804230453
4607,click,39.75241462580527
27729,purchase,54.57792670673616
44394,signup,22.291788389501768
3191,purchase,56.325072089039914
42914,purchase,43.134471509154665
41381,purchase,68.16268928905109
13838,click,19.768790377292756
31583,purchase,36.085580493097915
8262,view,54.43119383794157
37904,click,37.71530933032673
35026,view,27.08890933844851
17726,purchase,33.69378349797148
3396,signup,37.74540601014245
48534,view,19.661247793635912
22284,purchase,35.15324548424458
44656,signup,104.91651552483594
33896,click,50.2158013112552
38919,view,52.82733820381418
37995,click,46.09063256058438
9732,click,71.90029611907472
18195,signup,48.64604737100999
23336,signup,38.03730306924443
24890,signup,46.741307559483026
2191,purchase,71.26636476038995
27328,signup,65.59903339411804
7715,purchase,9.832813405587906
37169,click,48.506134848596965
34152,view,59.48487303621931
46126,view,50.155113402836186
37238,click,104.61730705608969
18332,click,59.64572656055858
48375,signup,64.10014617362813
20543,signup,21.77805491389323
16291,signup,20.785215108531826
45276,view,34.10118461467037
18523,view,23.83785596681235
3818,signup,54.145150409217266
23478,click,33.01686842709609
39784,view,14.692073903688573
9474,signup,68.87079487648225
23147,click,51.17054297414617
6496,view,50.78611396449409
34324,view,34.682115582008024
23785,signup,55.34145362831777
16510,signup,53.70102682520248
11346,click,57.93660126042553
28225,signup,38.07793099568147
33491,purchase,39.063776835613986
47015,purchase,35.16763962306611
21858,click,29.39838779630746
8035,view,87.02290751373391
41634,purchase,0.0
31488,click,22.539252433582348
35013,view,49.19195540780734
4862,click,29.63588115025579
15619,click,49.18737133927621
38392,click,17.462957095719524
41613,signup,6.27959324793153
21761,purchase,39.112333495827606
40238,signup,69.37800274239669
42084,purchase,52.67203475486818
19374,click,64.10185409825974
44904,view,73.92457753217744
14417,view,62.0755255656266
11978,signup,31.038045819473766
34125,purchase,39.18587917244312
31838,view,25.448385766225524
6988,signup,40.61263741378049
41637,purchase,32.672248582385535
9996,purchase,53.55731373426749
40245,purchase,26.940355466948084
369,view,38.69317927411993
39842,signup,68.73713644723485
39346,view,68.42843931286215
39018,signup,59.22502943719418
33242,view,23.911231576690422
23578,signup,110.63490474700399
35258,click,39.724344224650004
13856,purchase,54.83344296903385
39036,view,40.368409335470076
27782,signup,44.90932030986623
22946,view,0.0
25280,view,56.97645843850764
28437,click,26.890920336057835
